,carat,cut,color,clarity,depth,table,price,'x','y','z'
46492,0.52,b'Ideal',b'H',b'VVS1',60.4,57.0,1778.0,5.2,5.23,3.15
11911,1.15,b'Premium',b'I',b'SI2',61.3,57.3,5123.0,6.71,6.78,4.13
14181,0.9,b'Very Good',b'G',b'IF',60.1,59.0,5754.0,6.22,6.26,3.75
33192,0.3,b'Premium',b'G',b'VVS2',60.4,60.0,819.0,4.34,4.3,2.61
49866,0.72,b'Good',b'I',b'VS2',60.1,60.5,2174.0,5.76,5.85,3.48
23978,2.1,b'Good',b'H',b'SI1',63.7,61.0,12121.0,8.1,8.07,5.15
38286,0.28,b'Very Good',b'F',b'VS1',61.0,59.0,487.0,4.18,4.24,2.57
40557,0.41,b'Ideal',b'G',b'VVS1',62.0,56.0,1151.0,4.78,4.8,2.97
40044,0.52,b'Premium',b'F',b'SI1',62.0,59.0,1112.0,5.18,5.15,3.2
46657,0.51,b'Ideal',b'D',b'VS2',61.6,56.0,1787.0,5.15,5.17,3.18
1068,0.31,b'Premium',b'I',b'VS2',59.9,60.0,558.0,4.44,4.41,2.65
21479,1.52,b'Premium',b'E',b'SI2',62.9,59.0,9576.0,7.31,7.26,4.58
40403,0.54,b'Ideal',b'G',b'SI2',61.8,54.0,1133.0,5.23,5.25,3.24
6524,0.91,b'Good',b'F',b'SI1',58.0,57.0,4067.0,6.36,6.47,3.72
40682,0.5,b'Very Good',b'E',b'SI1',63.4,58.0,1155.0,5.09,5.01,3.2
34074,0.4,b'Very Good',b'F',b'VS1',60.9,61.0,851.0,4.75,4.78,2.9
28275,0.26,b'Ideal',b'H',b'SI2',62.5,53.0,362.0,4.09,4.13,2.57
29474,0.4,b'Premium',b'G',b'SI1',62.0,59.0,702.0,4.71,4.74,2.93
21268,1.16,b'Ideal',b'G',b'VVS2',62.2,56.0,9419.0,6.74,6.7,4.18
13674,0.91,b'Very Good',b'D',b'VS1',62.5,56.0,5597.0,6.14,6.18,3.85
12348,1.05,b'Premium',b'H',b'SI1',61.3,58.0,5228.0,6.52,6.47,3.98
43431,0.54,b'Very Good',b'E',b'SI2',60.7,56.5,1415.0,5.24,5.28,3.19
50783,0.51,b'Ideal',b'G',b'VVS2',61.2,56.0,2303.0,5.16,5.17,3.16
47543,0.47,b'Ideal',b'E',b'VS1',61.2,56.0,1872.0,5.01,5.05,3.08
14359,1.21,b'Ideal',b'H',b'SI2',62.0,54.5,5814.0,6.81,6.87,4.25
21937,1.6,b'Ideal',b'J',b'VS1',62.0,53.0,10011.0,7.57,7.56,4.69
32773,0.34,b'Premium',b'D',b'SI1',61.2,58.0,803.0,4.49,4.47,2.74
10202,0.8,b'Ideal',b'G',b'VVS2',61.5,55.0,4740.0,5.95,5.99,3.68
42053,0.55,b'Very Good',b'H',b'SI1',59.4,58.0,1270.0,5.36,5.38,3.19
30404,0.32,b'Ideal',b'G',b'VVS2',61.4,55.0,730.0,4.4,4.43,2.71
44055,0.52,b'Very Good',b'F',b'VS2',63.9,57.0,1550.0,5.08,5.12,3.26
29383,0.31,b'Ideal',b'E',b'SI1',63.0,57.0,698.0,4.32,4.29,2.71
28332,0.33,b'Premium',b'G',b'VS1',62.4,59.0,666.0,4.41,4.47,2.77
34154,0.33,b'Ideal',b'G',b'VS1',62.3,54.0,854.0,4.48,4.45,2.78
10491,1.16,b'Ideal',b'H',b'SI2',61.9,56.0,4797.0,6.73,6.77,4.18
15191,1.23,b'Ideal',b'J',b'VS1',62.2,55.0,6100.0,6.83,6.86,4.26
1635,0.96,b'Premium',b'E',b'SI2',62.8,60.0,3016.0,6.3,6.24,3.94
53928,0.79,b'Premium',b'E',b'SI2',61.4,58.0,2756.0,6.03,5.96,3.68
42620,0.32,b'Ideal',b'I',b'VS1',62.3,57.0,505.0,4.37,4.42,2.74
8407,1.07,b'Ideal',b'G',b'SI2',62.0,57.0,4401.0,6.58,6.55,4.07
48086,0.5,b'Good',b'E',b'VS1',61.1,58.2,1932.0,5.08,5.12,3.11
45915,0.53,b'Ideal',b'E',b'VS2',61.9,56.0,1721.0,5.19,5.21,3.22
52933,0.7,b'Good',b'F',b'VS2',62.9,61.0,2591.0,5.6,5.63,3.53
46414,0.52,b'Ideal',b'E',b'VS2',61.3,55.0,1767.0,5.22,5.19,3.19
43252,0.38,b'Premium',b'D',b'VVS1',61.4,59.0,1400.0,4.63,4.66,2.85
7569,0.73,b'Ideal',b'D',b'VVS2',62.2,56.0,4252.0,5.79,5.73,3.58
40155,0.35,b'Ideal',b'G',b'IF',61.4,55.0,1116.0,4.59,4.56,2.81
45030,0.54,b'Ideal',b'E',b'SI1',61.5,57.0,1637.0,5.25,5.22,3.22
22154,1.09,b'Ideal',b'F',b'VVS2',62.0,56.0,10196.0,6.63,6.6,4.1
22142,1.01,b'Good',b'G',b'VS2',63.6,56.0,10181.0,6.31,6.24,3.99
1318,0.72,b'Good',b'G',b'VS1',58.0,57.8,2958.0,5.85,5.87,3.4
39530,0.4,b'Premium',b'I',b'VVS1',61.5,58.0,1080.0,4.76,4.7,2.91
15598,1.01,b'Very Good',b'F',b'VS2',58.8,63.0,6257.0,6.51,6.56,3.84
802,0.73,b'Premium',b'E',b'VS2',62.5,61.0,2862.0,5.78,5.64,3.59
12335,1.22,b'Premium',b'I',b'SI2',62.5,58.0,5226.0,6.8,6.76,4.24
28929,0.3,b'Very Good',b'G',b'VVS2',61.3,57.0,684.0,4.29,4.33,2.64
30017,0.4,b'Good',b'H',b'VS2',63.1,62.0,717.0,4.75,4.66,2.97
8337,1.01,b'Premium',b'G',b'SI1',62.3,60.0,4395.0,6.31,6.25,3.91
34780,0.41,b'Premium',b'D',b'SI2',62.4,60.0,876.0,4.77,4.71,2.96
29671,0.28,b'Very Good',b'F',b'VVS2',61.6,56.0,707.0,4.2,4.23,2.59
17406,1.21,b'Very Good',b'H',b'VS1',63.4,55.0,6973.0,6.76,6.81,4.3
47797,0.57,b'Ideal',b'G',b'VS1',60.8,56.8,1899.0,5.36,5.39,3.26
13151,1.19,b'Premium',b'I',b'VS2',61.7,57.0,5439.0,6.84,6.77,4.2
772,0.7,b'Ideal',b'D',b'VS2',61.0,57.0,2859.0,5.76,5.74,3.51
28421,0.3,b'Very Good',b'D',b'VS2',62.5,57.0,670.0,4.26,4.28,2.67
39728,0.51,b'Ideal',b'G',b'SI2',61.3,58.0,1091.0,5.15,5.19,3.17
8677,0.96,b'Good',b'H',b'VS1',63.9,54.0,4456.0,6.27,6.22,3.99
4385,0.31,b'Premium',b'D',b'SI1',61.2,60.0,571.0,4.35,4.41,2.68
26676,0.27,b'Ideal',b'G',b'SI1',62.2,54.0,426.0,4.13,4.17,2.58
22638,1.71,b'Premium',b'H',b'SI2',62.5,57.0,10687.0,7.67,7.62,4.78
37666,0.42,b'Premium',b'E',b'SI1',62.5,55.0,992.0,4.83,4.8,3.01
17928,1.01,b'Premium',b'E',b'VS2',58.0,61.0,7240.0,6.53,6.5,3.94
9942,1.01,b'Ideal',b'H',b'SI2',61.1,56.0,4693.0,6.44,6.48,3.95
41103,0.44,b'Very Good',b'H',b'IF',61.1,57.0,1194.0,4.91,4.94,3.01
5040,0.3,b'Ideal',b'F',b'VS2',60.5,58.0,573.0,4.3,4.36,2.62
18382,0.31,b'Good',b'F',b'SI1',64.1,61.0,618.0,4.29,4.2,2.72
50688,0.51,b'Very Good',b'D',b'VVS2',63.1,58.0,2289.0,5.1,5.07,3.21
5959,0.9,b'Very Good',b'F',b'SI1',62.0,59.0,3950.0,6.13,6.17,3.81
36014,0.39,b'Very Good',b'H',b'VS2',63.1,58.0,921.0,4.66,4.63,2.93
23680,1.62,b'Premium',b'F',b'SI1',60.1,58.0,11733.0,7.63,7.59,4.57
26914,2.13,b'Premium',b'G',b'SI2',60.7,60.0,16931.0,8.37,8.27,5.05
22902,1.61,b'Premium',b'H',b'SI1',62.5,58.0,10942.0,7.51,7.46,4.68
13602,1.02,b'Very Good',b'H',b'VS2',62.4,57.0,5565.0,6.35,6.4,3.98
53352,1.0,b'Good',b'D',b'I1',57.8,62.0,2657.0,6.51,6.47,3.75
37581,0.32,b'Premium',b'F',b'VVS1',61.9,59.0,990.0,4.39,4.34,2.7
25889,1.5,b'Very Good',b'G',b'VVS2',62.9,56.0,15013.0,7.22,7.32,4.57
37963,0.41,b'Ideal',b'F',b'VS1',62.0,56.0,1007.0,4.77,4.81,2.97
12315,1.11,b'Good',b'I',b'VVS2',60.1,64.0,5221.0,6.73,6.62,4.02
41852,0.44,b'Ideal',b'H',b'IF',62.0,57.0,1255.0,4.87,4.91,3.02
7402,0.33,b'Very Good',b'G',b'VS2',62.8,54.0,579.0,4.4,4.42,2.77
42411,0.54,b'Good',b'D',b'SI1',63.7,57.0,1310.0,5.22,5.14,3.3
19839,1.02,b'Ideal',b'G',b'VVS2',62.7,57.0,8401.0,6.41,6.45,4.03
25971,1.51,b'Premium',b'G',b'VVS2',60.9,58.0,15164.0,7.38,7.42,4.51
35942,0.33,b'Ideal',b'G',b'SI1',61.3,56.0,475.0,4.45,4.49,2.74
50162,0.71,b'Very Good',b'I',b'SI1',62.6,59.0,2218.0,5.67,5.7,3.56
3944,0.71,b'Ideal',b'D',b'SI1',60.8,57.0,3502.0,5.75,5.78,3.5
49059,0.7,b'Very Good',b'G',b'SI2',62.6,56.0,2058.0,5.65,5.69,3.55
7305,0.96,b'Premium',b'G',b'SI2',59.3,58.0,4204.0,6.49,6.43,3.83
35543,0.35,b'Ideal',b'F',b'VS2',62.1,57.0,906.0,4.55,4.53,2.82
52131,0.52,b'Premium',b'E',b'VVS2',60.1,59.0,2467.0,5.27,5.22,3.15
8358,0.77,b'Very Good',b'F',b'VVS1',60.2,58.0,4399.0,5.93,5.97,3.58
34105,0.4,b'Very Good',b'G',b'VS1',60.0,56.0,853.0,4.81,4.85,2.9
7563,0.9,b'Premium',b'G',b'VS2',62.1,59.0,4252.0,6.15,6.09,3.8
30230,0.33,b'Ideal',b'E',b'VS2',61.2,56.0,723.0,4.45,4.47,2.73
43224,0.4,b'Ideal',b'G',b'IF',62.2,55.0,1397.0,4.76,4.73,2.95
41202,0.46,b'Good',b'D',b'VS2',63.2,56.0,1205.0,4.89,4.92,3.1
53639,0.3,b'Ideal',b'D',b'SI1',61.0,56.0,552.0,4.35,4.37,2.66
14458,1.06,b'Ideal',b'F',b'SI1',61.9,57.0,5834.0,6.57,6.54,4.06
32589,0.33,b'Ideal',b'G',b'VVS1',61.8,59.0,802.0,4.45,4.48,2.76
13858,1.2,b'Premium',b'I',b'VS2',62.6,61.0,5645.0,6.76,6.68,4.21
3231,1.05,b'Premium',b'H',b'SI2',61.7,59.0,3352.0,6.59,6.53,4.05
41931,0.4,b'Very Good',b'D',b'VVS2',62.2,54.0,1263.0,4.75,4.77,2.96
26960,1.54,b'Ideal',b'F',b'VS2',61.0,56.0,17029.0,7.44,7.49,4.55
35990,0.42,b'Ideal',b'G',b'VS1',61.9,56.0,921.0,4.77,4.82,2.97
29875,0.3,b'Premium',b'D',b'VS2',61.1,59.0,710.0,4.26,4.31,2.62
46821,0.7,b'Premium',b'H',b'SI2',60.5,61.0,1808.0,5.75,5.72,3.47
46898,0.56,b'Ideal',b'D',b'SI1',61.4,57.0,1814.0,5.34,5.31,3.27
200,0.7,b'Very Good',b'E',b'SI1',59.9,63.0,2777.0,5.76,5.7,3.43
15142,0.94,b'Very Good',b'G',b'VVS1',63.3,57.0,6088.0,6.21,6.14,3.91
43812,0.51,b'Ideal',b'E',b'SI1',61.7,55.0,1443.0,5.17,5.13,3.18
40022,0.34,b'Ideal',b'D',b'VS1',60.9,56.0,1109.0,4.56,4.51,2.76
29925,0.31,b'Ideal',b'D',b'VS1',60.6,57.0,713.0,4.36,4.39,2.65
18865,1.51,b'Very Good',b'E',b'SI2',63.3,58.0,7737.0,7.19,7.16,4.54
7329,0.91,b'Good',b'G',b'VS1',63.6,60.0,4209.0,6.11,6.03,3.86
52169,0.7,b'Ideal',b'G',b'VS1',62.2,55.0,2475.0,5.69,5.72,3.55
10936,1.47,b'Fair',b'H',b'I1',66.7,59.0,4898.0,6.98,6.94,4.64
37424,0.33,b'Ideal',b'E',b'VVS1',61.5,56.0,984.0,4.46,4.49,2.75
52783,0.72,b'Very Good',b'E',b'SI1',62.9,54.0,2567.0,5.72,5.76,3.61
38160,0.34,b'Ideal',b'E',b'VVS1',62.2,56.0,1014.0,4.44,4.46,2.77
37379,0.4,b'Ideal',b'G',b'VVS2',62.4,56.0,982.0,4.64,4.68,2.91
28880,0.31,b'Good',b'D',b'SI1',63.8,57.0,684.0,4.33,4.29,2.75
13631,1.2,b'Ideal',b'H',b'SI2',62.7,55.0,5578.0,6.74,6.69,4.21
3755,1.02,b'Premium',b'J',b'SI2',61.4,60.0,3455.0,6.5,6.44,3.97
36342,0.32,b'Ideal',b'G',b'VVS1',61.7,56.0,936.0,4.41,4.37,2.71
36540,0.4,b'Premium',b'F',b'SI1',61.2,58.0,945.0,4.74,4.71,2.89
41943,0.28,b'Very Good',b'H',b'VVS1',61.5,58.0,504.0,4.17,4.22,2.58
35275,0.4,b'Ideal',b'D',b'VS2',62.8,57.0,895.0,4.68,4.72,2.95
23537,1.51,b'Ideal',b'H',b'VS2',60.6,57.0,11540.0,7.46,7.45,4.52
30655,0.31,b'Very Good',b'D',b'VS1',62.3,56.0,736.0,4.33,4.37,2.71
43008,0.57,b'Very Good',b'G',b'SI1',63.4,57.0,1369.0,5.26,5.21,3.32
20757,1.51,b'Premium',b'I',b'VS2',62.3,60.0,8997.0,7.35,7.29,4.56
4296,0.73,b'Ideal',b'G',b'VS1',61.2,56.0,3589.0,5.82,5.85,3.57
15538,1.09,b'Ideal',b'I',b'VS1',61.4,56.0,6225.0,6.61,6.66,4.07
41037,0.41,b'Premium',b'E',b'VVS2',61.8,59.0,1187.0,4.74,4.78,2.94
4750,1.0,b'Premium',b'J',b'VS2',62.0,62.0,3685.0,6.42,6.35,3.96
10840,1.01,b'Ideal',b'I',b'SI1',60.0,60.0,4872.0,6.53,6.57,3.93
40440,0.5,b'Good',b'G',b'SI1',60.2,64.0,1138.0,5.11,5.04,3.05
50440,0.7,b'Very Good',b'E',b'SI2',59.8,58.0,2263.0,5.72,5.85,3.46
28303,0.32,b'Very Good',b'I',b'SI1',62.8,58.0,432.0,4.34,4.39,2.74
48013,0.56,b'Good',b'E',b'VS2',62.3,63.0,1920.0,5.22,5.27,3.27
32714,0.31,b'Premium',b'F',b'VS2',62.0,58.0,802.0,4.37,4.31,2.69
